id,host,dir
ioc-lm1k4-hrm-gige-ff-01,ctl-las-ip1-srv03,/reg/g/pcds/epics-dev/mods/lm1k4/hrm/gigECam/
ioc-lm1k4-hrm-gige-ff-02,ctl-las-ip1-srv03,/reg/g/pcds/epics-dev/mods/lm1k4/hrm/gigECam/
ioc-lm1k4-hrm-gige-nf-01,ctl-las-ip1-srv03,/reg/g/pcds/epics-dev/mods/lm1k4/hrm/gigECam/
ioc-lm1k4-hrm-gige-nf-02,ctl-las-ip1-srv03,/reg/g/pcds/epics-dev/mods/lm1k4/hrm/gigECam/
ioc-lm1k4-hrm-spec-01,ctl-las-ip1-srv03,/reg/g/pcds/epics-dev/mods/lm1k4/hrm/qmini/
ioc-lm1k4-inj-ek9000-01,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/inj/ek9000/
ioc-lm1k4-inj-ell-01,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/inj/thorlabs-ell/
ioc-lm1k4-inj-gige-ff-01,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/inj/gigECam/
ioc-lm1k4-inj-gige-nf-01,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/inj/gigECam/
ioc-lm1k4-inj-spec-01,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/inj/qmini/
ioc-lm1k4-inj-wfs-01,ctl-las-ip1-srv01,/cds/group/pcds/epics-dev/mods/lm1k4/inj/Thorlabs-WFS
ioc-lm1k4-las-tpr1,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/tpr
ioc-lm1k4-las-tpr7,ctl-las-ip1-srv07,/reg/g/pcds/epics-dev/mods/lm1k4/tpr
ioc-lm1k4-mcs2-01,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/smaract/
ioc-lm1k4-mcs2-02,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/smaract/
ioc-lm1k4-mcs2-03,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/smaract/
ioc-lm1k4-mcs2-04,ctl-las-ip1-srv01,/reg/g/pcds/epics-dev/mods/lm1k4/smaract/
ioc-lm1k4-qadc134-01,ctl-las-ip1-srv03,ioc/las/qadc/R1.1.0
ioc-lm2k2-atm-ek9000-01,ctl-las-crix-srv04,/reg/g/pcds/epics-dev/mods/lm2k2/atm/ek9000
ioc-lm2k2-atm-ell-01,ctl-las-crix-srv04,/reg/g/pcds/epics-dev/mods/lm2k2/atm/thorlabs-ell/
ioc-lm2k2-atm-ell-02,ctl-las-crix-srv04,/reg/g/pcds/epics-dev/mods/lm2k2/atm/thorlabs-ell/
ioc-lm2k2-atm-gige-ff-01,ctl-las-crix-srv04,/reg/g/pcds/epics-dev/mods/lm2k2/atm/gigECam/
ioc-lm2k2-atm-gige-ff-02,ctl-las-crix-srv04,/reg/g/pcds/epics-dev/mods/lm2k2/atm/gigECam
ioc-lm2k2-atm-gige-nf-01,ctl-las-crix-srv04,/reg/g/pcds/epics-dev/mods/lm2k2/atm/gigECam/
ioc-lm2k2-atm-spec-01,ctl-las-crix-srv04,/reg/g/pcds/epics-dev/mods/lm2k2/atm/qmini/
ioc-lm2k2-com-ek9000-01,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/ek9000/
ioc-lm2k2-com-ell-01,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/thorlabs-ell/
ioc-lm2k2-com-ell-02,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/thorlabs-ell/
ioc-lm2k2-com-ell-03,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/thorlabs-ell/
ioc-lm2k2-com-ell-04,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/thorlabs-ell/
ioc-lm2k2-com-gige-ff-01,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/gigECam/
ioc-lm2k2-com-gige-ff-02,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/gigECam/
ioc-lm2k2-com-gige-ff-03,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/gigECam
ioc-lm2k2-com-gige-nf-01,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/gigECam/
ioc-lm2k2-com-gige-nf-02,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/gigECam/
ioc-lm2k2-com-gige-nf-03,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/gigECam/
ioc-lm2k2-com-spec-01,ctl-las-crix-srv02,/reg/g/pcds/epics-dev/mods/lm2k2/com/qmini/
ioc-lm2k2-ejx-ek9000-01,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/ek9000/
ioc-lm2k2-ejx-ell-01,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/thorlabs-ell/
ioc-lm2k2-ejx-ell-02,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/thorlabs-ell/
ioc-lm2k2-ejx-gige-ff-01,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/gigECam/
ioc-lm2k2-ejx-gige-ff-02,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/gigECam
ioc-lm2k2-ejx-gige-nf-01,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/gigECam/
ioc-lm2k2-ejx-gige-nf-02,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/gigECam
ioc-lm2k2-ejx-spec-01,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/qmini/
ioc-lm2k2-ejx-wfs-01,ctl-las-crix-srv05,/reg/g/pcds/epics-dev/mods/lm2k2/ejx/Thorlabs-WFS/
ioc-lm2k2-hrm-gige-ff-01,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/lm2k2/hrm/gigECam
ioc-lm2k2-hrm-gige-ff-02,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/lm2k2/hrm/gigECam
ioc-lm2k2-hrm-gige-nf-01,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/lm2k2/hrm/gigECam
ioc-lm2k2-hrm-gige-nf-02,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/lm2k2/hrm/gigECam
